Samples	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Digestivesystem	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Gill	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Mantle	Seawater	Seawater	Seawater	Seawater
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01361	4.0	4.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	30.0	13.0	57.0	21.0	77.0	138.0	18.0	18.0	129.0	63.0	74.0	38.0	15.0	73.0	18.0	0.0	71.0	51.0	1190.0	70.0	26.0	22.0	88.0	97.0	332.0	326.0	58.0	134.0	42.0	107.0	18.0	194.0	59.0	53.0	208.0	0.0	0.0	0.0	0.0
K01360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01362	39161.0	5449.0	2060.0	6137.0	2683.0	22659.0	23781.0	4800.0	1775.0	13421.0	16588.0	6916.0	4237.0	8489.0	9980.0	3108.0	5897.0	9242.0	23073.0	30452.0	44301.0	50425.0	60877.0	57705.0	44275.0	75714.0	62757.0	27962.0	34783.0	45563.0	39065.0	48346.0	14810.0	62770.0	27231.0	43992.0	46182.0	35808.0	62860.0	34384.0	14234.0	31381.0	45994.0	44127.0	46122.0	31427.0	40459.0	24127.0	19168.0	35945.0	30504.0	36510.0	41825.0	41834.0	20397.0	17826.0	28840.0	22507.0
K02249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	15.0	0.0	1.0	10.0	53.0	0.0	8.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0
K05841	2.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	8.0	7.0	19.0	6.0	0.0	0.0	17.0	15.0	2.0	0.0	12.0	33.0	3.0	32.0	3.0	9.0	112.0	102.0	1.0	26.0	23.0	51.0	73.0	10.0	78.0	9.0	42.0	4.0	153.0	149.0	112.0	185.0	251.0	201.0	72.0	106.0	30.0	87.0	71.0	41.0	105.0	29.0	144.0	121.0	48.0	167.0	1.0	0.0	0.0	2.0
K05844	7684.0	2488.0	1129.0	1989.0	946.0	7405.0	9319.0	2618.0	546.0	3526.0	4124.0	6778.0	9578.0	19779.0	7204.0	2042.0	753.0	2618.0	4131.0	4467.0	13619.0	8044.0	18594.0	8837.0	10266.0	12245.0	17230.0	4266.0	6772.0	12066.0	6433.0	14908.0	2526.0	19463.0	7689.0	11375.0	6954.0	6815.0	11330.0	5056.0	3603.0	5483.0	8991.0	6210.0	6881.0	4473.0	6580.0	7399.0	3457.0	14458.0	5135.0	5808.0	14711.0	6359.0	4208.0	4515.0	5454.0	5156.0
K05845	643.0	378.0	19.0	755.0	57.0	806.0	1487.0	366.0	140.0	310.0	3198.0	546.0	292.0	260.0	371.0	419.0	357.0	474.0	3061.0	3185.0	573.0	6007.0	1933.0	6438.0	3619.0	6842.0	1410.0	5779.0	4064.0	1627.0	7201.0	1054.0	3093.0	1115.0	786.0	3585.0	6889.0	5668.0	4990.0	6281.0	1575.0	4972.0	6886.0	9742.0	8827.0	7255.0	7442.0	3867.0	2724.0	1871.0	5530.0	7004.0	3001.0	7724.0	2636.0	2632.0	3501.0	2530.0
K05846	7572.0	893.0	492.0	1452.0	867.0	7588.0	4485.0	1427.0	499.0	3007.0	5522.0	2014.0	818.0	782.0	1986.0	1180.0	1395.0	2246.0	7787.0	8265.0	14159.0	14132.0	20101.0	20430.0	13773.0	24342.0	20381.0	11014.0	11474.0	13455.0	13981.0	15886.0	6764.0	20401.0	7964.0	14841.0	12472.0	11034.0	14085.0	10418.0	3729.0	10323.0	12524.0	16181.0	13938.0	12691.0	11916.0	7553.0	5642.0	3714.0	10689.0	11139.0	7950.0	13631.0	5733.0	5893.0	7561.0	5899.0
K05847	7139.0	837.0	25.0	1331.0	389.0	1393.0	3272.0	731.0	241.0	1130.0	4916.0	1231.0	515.0	325.0	1741.0	684.0	787.0	1204.0	3416.0	3506.0	622.0	8790.0	2094.0	7080.0	4493.0	7410.0	2944.0	6382.0	4758.0	2139.0	6848.0	1138.0	3462.0	1046.0	1054.0	3455.0	7473.0	7094.0	10323.0	6204.0	2338.0	5046.0	7530.0	9530.0	8152.0	7586.0	6742.0	4600.0	3590.0	2218.0	6781.0	6757.0	3879.0	7895.0	2789.0	3348.0	4065.0	3406.0
K00508	2681.0	324.0	8.0	327.0	253.0	237.0	921.0	392.0	71.0	378.0	554.0	390.0	214.0	103.0	548.0	30.0	209.0	290.0	924.0	1387.0	422.0	4070.0	791.0	1720.0	2114.0	1423.0	454.0	3556.0	2173.0	1140.0	3675.0	763.0	1300.0	761.0	317.0	1752.0	5653.0	3074.0	3484.0	3436.0	1564.0	2506.0	4895.0	4731.0	4357.0	3865.0	4780.0	2041.0	1710.0	1092.0	2900.0	3766.0	2004.0	3789.0	3115.0	3928.0	4240.0	3808.0
K00500	2533.0	866.0	560.0	694.0	575.0	6324.0	2972.0	971.0	401.0	2419.0	1631.0	1171.0	872.0	526.0	982.0	887.0	1572.0	1964.0	4733.0	6140.0	13578.0	7696.0	18428.0	13513.0	9822.0	17525.0	17186.0	5180.0	6429.0	12379.0	9241.0	15380.0	2947.0	19971.0	7351.0	12081.0	8414.0	4512.0	6127.0	6206.0	3219.0	6762.0	9562.0	8666.0	9964.0	7126.0	9013.0	4974.0	3816.0	14971.0	5773.0	7855.0	15716.0	7690.0	1319.0	1970.0	1845.0	2083.0
K00507	3996.0	1228.0	553.0	1244.0	886.0	6731.0	4903.0	1287.0	465.0	3251.0	2765.0	1532.0	888.0	753.0	2144.0	903.0	934.0	2239.0	6179.0	7197.0	14109.0	12186.0	18855.0	10445.0	13313.0	13936.0	17794.0	9005.0	9236.0	13732.0	12606.0	16202.0	3332.0	20521.0	7918.0	14054.0	12835.0	7095.0	11340.0	9626.0	3883.0	9368.0	13076.0	12086.0	14472.0	10299.0	12529.0	7847.0	5508.0	15740.0	8652.0	10589.0	17497.0	12507.0	3081.0	3428.0	4226.0	3659.0
K00504	231.0	136.0	0.0	46.0	16.0	21.0	66.0	50.0	16.0	77.0	7.0	26.0	28.0	2.0	29.0	0.0	26.0	14.0	73.0	89.0	8.0	160.0	36.0	60.0	62.0	45.0	29.0	195.0	67.0	55.0	173.0	36.0	40.0	41.0	15.0	98.0	401.0	280.0	254.0	158.0	30.0	101.0	183.0	316.0	390.0	190.0	141.0	112.0	81.0	58.0	233.0	258.0	79.0	227.0	128.0	168.0	212.0	129.0
K00505	1.0	0.0	0.0	6.0	10.0	0.0	82.0	4.0	0.0	0.0	20.0	2.0	0.0	4.0	2.0	12.0	0.0	32.0	25.0	130.0	26.0	200.0	47.0	102.0	46.0	57.0	4.0	114.0	57.0	114.0	254.0	29.0	26.0	28.0	17.0	124.0	124.0	146.0	139.0	113.0	48.0	76.0	85.0	316.0	92.0	188.0	175.0	38.0	36.0	22.0	94.0	100.0	958.0	114.0	0.0	0.0	0.0	0.0
K12521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01101	167.0	11.0	30.0	488.0	23.0	444.0	679.0	169.0	34.0	120.0	2663.0	406.0	28.0	82.0	130.0	119.0	48.0	156.0	1596.0	742.0	201.0	1596.0	453.0	1017.0	1029.0	469.0	837.0	1053.0	2023.0	383.0	1461.0	290.0	1274.0	610.0	348.0	847.0	2058.0	1567.0	1095.0	1655.0	405.0	1157.0	1866.0	2402.0	2756.0	1905.0	2140.0	1150.0	880.0	558.0	1253.0	2276.0	936.0	1692.0	2.0	3.0	1.0	1.0
K01103	499.0	57.0	21.0	16.0	9.0	160.0	406.0	75.0	33.0	24.0	106.0	31.0	7.0	29.0	59.0	23.0	0.0	62.0	346.0	702.0	43.0	925.0	178.0	226.0	129.0	82.0	42.0	318.0	254.0	207.0	463.0	121.0	73.0	236.0	19.0	178.0	820.0	194.0	422.0	405.0	55.0	319.0	581.0	571.0	562.0	651.0	660.0	153.0	197.0	171.0	384.0	454.0	1064.0	497.0	0.0	2.0	1.0	1.0
K12520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01104	14362.0	2993.0	1759.0	3101.0	1532.0	14791.0	13031.0	3742.0	992.0	6389.0	8989.0	7713.0	10482.0	8926.0	8809.0	3943.0	2976.0	4599.0	14154.0	17022.0	28842.0	27135.0	40121.0	28910.0	27674.0	32896.0	38137.0	21548.0	25622.0	27453.0	28505.0	32878.0	12793.0	42275.0	16206.0	30511.0	29375.0	24314.0	26183.0	23908.0	8645.0	20859.0	27252.0	31367.0	31595.0	24027.0	31161.0	16900.0	12939.0	32859.0	23400.0	26471.0	36000.0	28719.0	7432.0	7643.0	9702.0	8150.0
K05592	13446.0	2291.0	1225.0	2544.0	1008.0	8388.0	10695.0	2878.0	628.0	3595.0	7275.0	6528.0	9777.0	8411.0	7251.0	2502.0	2155.0	2925.0	7460.0	8530.0	14412.0	15159.0	19819.0	16293.0	14631.0	19378.0	20307.0	8410.0	10823.0	13916.0	11521.0	15933.0	5420.0	20470.0	8838.0	13504.0	13000.0	12804.0	17826.0	9595.0	4635.0	9128.0	13887.0	12745.0	12373.0	9236.0	11930.0	8894.0	7228.0	15901.0	9343.0	10688.0	17321.0	10949.0	2279.0	3045.0	3441.0	3470.0
K05593	149.0	15.0	16.0	479.0	17.0	444.0	816.0	129.0	30.0	134.0	2515.0	356.0	0.0	61.0	100.0	0.0	31.0	142.0	256.0	146.0	101.0	589.0	181.0	436.0	847.0	257.0	324.0	465.0	494.0	329.0	691.0	238.0	509.0	234.0	124.0	455.0	727.0	1368.0	615.0	698.0	143.0	448.0	576.0	838.0	834.0	981.0	1254.0	372.0	402.0	220.0	427.0	776.0	396.0	707.0	4.0	1.0	1.0	1.0
K05590	7.0	1049.0	603.0	598.0	16.0	61.0	3006.0	1116.0	92.0	193.0	1024.0	3706.0	8499.0	1816.0	4923.0	1596.0	67.0	228.0	167.0	90.0	7.0	201.0	37.0	40.0	25.0	13.0	25.0	53.0	147.0	30.0	182.0	47.0	169.0	54.0	23.0	38.0	192.0	233.0	289.0	193.0	1069.0	242.0	508.0	276.0	540.0	110.0	898.0	1053.0	621.0	12503.0	779.0	639.0	9887.0	148.0	6.0	9.0	5.0	5.0
