#Sample	Tissue	Reef	Sample2	Reef2
Digestivesystem1	Digestive_system	D_offshore	D_offshore_1	offshore
Digestivesystem10	Digestive_system	D_inshore	D_inshore_10	inshore
Digestivesystem11	Digestive_system	D_inshore	D_inshore_11	inshore
Digestivesystem12	Digestive_system	D_inshore	D_inshore_12	inshore
Digestivesystem13	Digestive_system	D_midshore	D_midshore_13	midshore
Digestivesystem14	Digestive_system	D_midshore	D_midshore_14	midshore
Digestivesystem15	Digestive_system	D_midshore	D_midshore_15	midshore
Digestivesystem16	Digestive_system	D_midshore	D_midshore_16	midshore
Digestivesystem17	Digestive_system	D_midshore	D_midshore_17	midshore
Digestivesystem18	Digestive_system	D_midshore	D_midshore_18	midshore
Digestivesystem2	Digestive_system	D_offshore	D_offshore_2	offshore
Digestivesystem3	Digestive_system	D_offshore	D_offshore_3	offshore
Digestivesystem4	Digestive_system	D_offshore	D_offshore_4	offshore
Digestivesystem5	Digestive_system	D_offshore	D_offshore_5	offshore
Digestivesystem6	Digestive_system	D_offshore	D_offshore_6	offshore
Digestivesystem7	Digestive_system	D_inshore	D_inshore_7	inshore
Digestivesystem8	Digestive_system	D_inshore	D_inshore_8	inshore
Digestivesystem9	Digestive_system	D_inshore	D_inshore_9	inshore
Gill1	Gills	G_offshore	G_offshore_1	offshore
Gill10	Gills	G_inshore	G_inshore_10	inshore
Gill11	Gills	G_inshore	G_inshore_11	inshore
Gill12	Gills	G_inshore	G_inshore_12	inshore
Gill13	Gills	G_midshore	G_midshore_13	midshore
Gill14	Gills	G_midshore	G_midshore_14	midshore
Gill15	Gills	G_midshore	G_midshore_15	midshore
Gill16	Gills	G_midshore	G_midshore_16	midshore
Gill17	Gills	G_midshore	G_midshore_17	midshore
Gill18	Gills	G_midshore	G_midshore_18	midshore
Gill2	Gills	G_offshore	G_offshore_2	offshore
Gill3	Gills	G_offshore	G_offshore_3	offshore
Gill4	Gills	G_offshore	G_offshore_4	offshore
Gill5	Gills	G_offshore	G_offshore_5	offshore
Gill6	Gills	G_offshore	G_offshore_6	offshore
Gill7	Gills	G_inshore	G_inshore_7	inshore
Gill8	Gills	G_inshore	G_inshore_8	inshore
Gill9	Gills	G_inshore	G_inshore_9	inshore
Mantle1	Mantle	M_offshore	M_offshore_1	offshore
Mantle10	Mantle	M_inshore	M_inshore_10	inshore
Mantle11	Mantle	M_inshore	M_inshore_11	inshore
Mantle12	Mantle	M_inshore	M_inshore_12	inshore
Mantle13	Mantle	M_midshore	M_midshore_13	midshore
Mantle14	Mantle	M_midshore	M_midshore_14	midshore
Mantle15	Mantle	M_midshore	M_midshore_15	midshore
Mantle16	Mantle	M_midshore	M_midshore_16	midshore
Mantle17	Mantle	M_midshore	M_midshore_17	midshore
Mantle18	Mantle	M_midshore	M_midshore_18	midshore
Mantle2	Mantle	M_offshore	M_offshore_2	offshore
Mantle3	Mantle	M_offshore	M_offshore_3	offshore
Mantle4	Mantle	M_offshore	M_offshore_4	offshore
Mantle5	Mantle	M_offshore	M_offshore_5	offshore
Mantle6	Mantle	M_offshore	M_offshore_6	offshore
Mantle7	Mantle	M_inshore	M_inshore_7	inshore
Mantle8	Mantle	M_inshore	M_inshore_8	inshore
Mantle9	Mantle	M_inshore	M_inshore_9	inshore
Seawater1	Seawater	W_offshore	W_offshore_1	offshore
Seawater2	Seawater	W_midshore	W_midshore_2	midshore
Seawater3	Seawater	W_inshore	W_inshore_3	inshore
Seawater3-1	Seawater	W_inshore	W_inshore_3	inshore
