#Sample	Metric	Value
Digestivesystem1	Weighted NSTI	0.15794501771642974
Digestivesystem10	Weighted NSTI	0.0705489396740898
Digestivesystem11	Weighted NSTI	0.08319443980154353
Digestivesystem12	Weighted NSTI	0.11751998402299685
Digestivesystem13	Weighted NSTI	0.1453139025655863
Digestivesystem14	Weighted NSTI	0.13989003955018323
Digestivesystem15	Weighted NSTI	0.09850633691857222
Digestivesystem16	Weighted NSTI	0.09693647042304547
Digestivesystem17	Weighted NSTI	0.1102141068039315
Digestivesystem18	Weighted NSTI	0.12433207190081239
Digestivesystem2	Weighted NSTI	0.1423032926664384
Digestivesystem3	Weighted NSTI	0.07675601594438566
Digestivesystem4	Weighted NSTI	0.036281543221433066
Digestivesystem5	Weighted NSTI	0.11930144809169405
Digestivesystem6	Weighted NSTI	0.0681332211234633
Digestivesystem7	Weighted NSTI	0.043484434318827835
Digestivesystem8	Weighted NSTI	0.10256685974550456
Digestivesystem9	Weighted NSTI	0.1162760986444687
Gill1	Weighted NSTI	0.11480433142952048
Gill10	Weighted NSTI	0.09879045478125426
Gill11	Weighted NSTI	0.14424298470772642
Gill12	Weighted NSTI	0.10976333343488189
Gill13	Weighted NSTI	0.1334042255200729
Gill14	Weighted NSTI	0.09290979835256874
Gill15	Weighted NSTI	0.11300898912646752
Gill16	Weighted NSTI	0.10262912334034191
Gill17	Weighted NSTI	0.13753633571216506
Gill18	Weighted NSTI	0.07713472036278349
Gill2	Weighted NSTI	0.10726615548425002
Gill3	Weighted NSTI	0.13328311509695687
Gill4	Weighted NSTI	0.08530128879411271
Gill5	Weighted NSTI	0.13575760093196923
Gill6	Weighted NSTI	0.08573604946831921
Gill7	Weighted NSTI	0.140728479827374
Gill8	Weighted NSTI	0.13132842233500314
Gill9	Weighted NSTI	0.11400150576743284
Mantle1	Weighted NSTI	0.08579889746114255
Mantle10	Weighted NSTI	0.09825866328495786
Mantle11	Weighted NSTI	0.13916993730343533
Mantle12	Weighted NSTI	0.07875442591551367
Mantle13	Weighted NSTI	0.06866876734614061
Mantle14	Weighted NSTI	0.08947459934464988
Mantle15	Weighted NSTI	0.09218989284943055
Mantle16	Weighted NSTI	0.07760365988047081
Mantle17	Weighted NSTI	0.0715189247670881
Mantle18	Weighted NSTI	0.07007461272606534
Mantle2	Weighted NSTI	0.07742667862972027
Mantle3	Weighted NSTI	0.07604934802837786
Mantle4	Weighted NSTI	0.0656058755626335
Mantle5	Weighted NSTI	0.02916209118294169
Mantle6	Weighted NSTI	0.07209810561077037
Mantle7	Weighted NSTI	0.0787111569675441
Mantle8	Weighted NSTI	0.04071315934153583
Mantle9	Weighted NSTI	0.0823810103239882
Seawater1	Weighted NSTI	0.11804132134587261
Seawater2	Weighted NSTI	0.13886597703379358
Seawater3	Weighted NSTI	0.11828076306105809
Seawater3-1	Weighted NSTI	0.1163244370701133
